<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
10/12/2023,PNJ,80600,81200,80000,80000,315400
10/13/2023,PNJ,80000,80400,79300,79800,286700
10/16/2023,PNJ,80600,80600,79400,79900,520200
10/17/2023,PNJ,80000,80100,79100,79100,216100
10/18/2023,PNJ,79000,79000,75500,77000,640500
10/19/2023,PNJ,77000,77600,75900,75900,569300
10/20/2023,PNJ,75500,76500,75000,75400,265300
10/23/2023,PNJ,75900,75900,74300,74300,421000
10/24/2023,PNJ,74800,75000,74000,74800,282700
10/25/2023,PNJ,74800,75600,74300,74300,353800
10/26/2023,PNJ,74000,74000,72000,74000,904700
10/27/2023,PNJ,73800,74000,72600,73600,343600
10/30/2023,PNJ,73600,73600,72600,72900,218300
10/31/2023,PNJ,73000,73000,71500,72000,481100
11/01/2023,PNJ,71500,72100,71100,72000,293500
11/02/2023,PNJ,72200,74000,72200,73800,374100
11/03/2023,PNJ,74800,74900,73800,73800,1746500
11/06/2023,PNJ,74000,76800,74000,76600,544600
11/07/2023,PNJ,76900,76900,75400,75900,231100
11/08/2023,PNJ,75800,77400,74800,77000,408600
11/09/2023,PNJ,77000,77500,76200,76500,433300
11/10/2023,PNJ,76000,76600,75700,76000,228700
11/13/2023,PNJ,76000,76500,75900,76100,157100
11/14/2023,PNJ,76200,78300,76200,78100,475500
11/15/2023,PNJ,79000,79300,78000,78300,204500
11/16/2023,PNJ,78100,78500,77800,78000,151400
11/17/2023,PNJ,78000,79400,77900,78900,892000
11/20/2023,PNJ,78600,79700,78300,79000,668700
11/21/2023,PNJ,79700,81200,79500,81100,1009700
11/22/2023,PNJ,80700,81400,80600,81200,641700
11/23/2023,PNJ,81300,82100,80500,80800,1186300
11/24/2023,PNJ,80500,81000,79500,80400,611800
11/27/2023,PNJ,80600,80600,79500,79500,446200
11/28/2023,PNJ,78600,79600,78400,79100,337100
11/29/2023,PNJ,79800,80300,79000,79900,571100
11/30/2023,PNJ,79600,81200,79600,80500,569300
12/01/2023,PNJ,80500,80600,80000,80300,298700
12/04/2023,PNJ,81200,81400,80100,80500,864200
12/05/2023,PNJ,80700,80800,80000,80000,769300
12/06/2023,PNJ,79700,80300,79400,80100,541300
12/07/2023,PNJ,80500,80500,78500,78500,762900
12/08/2023,PNJ,78700,79500,78100,78600,548700
12/11/2023,PNJ,78600,80200,78600,80000,1005600
12/12/2023,PNJ,80500,80500,79800,80300,535100
12/13/2023,PNJ,80300,81500,80200,80400,1344900
12/14/2023,PNJ,80500,80700,79500,79600,619800
12/15/2023,PNJ,79600,79700,78800,79200,610600
12/18/2023,PNJ,79100,79500,78500,79500,488000
12/19/2023,PNJ,79500,79600,78200,79400,483600
12/20/2023,PNJ,79400,80400,78800,80300,1108400
12/21/2023,PNJ,80500,84300,80400,83900,3601600
12/22/2023,PNJ,84000,84000,83200,83800,1341400
12/25/2023,PNJ,84000,85200,83800,84500,1401800
12/26/2023,PNJ,84600,86000,83800,85600,1596000
12/27/2023,PNJ,85400,85800,85200,85300,1172500
12/28/2023,PNJ,85100,85400,84600,84800,1405600
12/29/2023,PNJ,84500,86000,84200,86000,1575200
01/02/2024,PNJ,87200,87200,85400,86000,911400
01/03/2024,PNJ,85500,86000,85300,86000,1047000
01/04/2024,PNJ,86000,86300,84600,84600,827600
01/05/2024,PNJ,84600,85000,83100,83400,1115800
01/08/2024,PNJ,83600,84300,83500,84300,813500
01/09/2024,PNJ,84400,85500,84400,85500,994500
01/10/2024,PNJ,85700,87000,85500,86900,1496300
01/11/2024,PNJ,86900,87800,85400,86200,1109800
01/12/2024,PNJ,86200,86200,84400,85000,1051400
01/15/2024,PNJ,85000,85400,84500,84500,903200
01/16/2024,PNJ,84500,86400,84400,86400,954000
01/17/2024,PNJ,86700,89000,86300,88600,2326400
01/18/2024,PNJ,88600,89700,88500,89000,1713600
01/19/2024,PNJ,89000,89600,87400,88200,1043800
01/22/2024,PNJ,88200,88400,87300,87700,513800
01/23/2024,PNJ,88200,89900,88000,89800,1424300
01/24/2024,PNJ,89900,90400,89200,89400,458200
01/25/2024,PNJ,89300,89600,88600,89500,524900
01/26/2024,PNJ,89500,89800,89300,89500,534200
01/29/2024,PNJ,90000,91500,89500,91300,1435000
01/30/2024,PNJ,91300,91900,91100,91400,1169300
01/31/2024,PNJ,91500,92200,90600,91500,2129600
02/01/2024,PNJ,91500,91700,90700,91700,1578400
02/02/2024,PNJ,91900,92700,91500,91900,2566900
02/05/2024,PNJ,91900,91900,89700,91000,1296100
02/06/2024,PNJ,90900,91000,90000,91000,500600
02/07/2024,PNJ,91100,91500,90600,91200,442800
02/15/2024,PNJ,91700,92200,90000,90900,885800
02/16/2024,PNJ,90900,90900,90100,90500,463300
02/19/2024,PNJ,90600,90900,88700,88700,1070500
02/20/2024,PNJ,88700,89800,88200,88700,742400
02/21/2024,PNJ,88800,88800,87600,88100,1229400
02/22/2024,PNJ,88000,89600,88000,89600,809100
02/23/2024,PNJ,89900,89900,87700,87800,1195400
02/26/2024,PNJ,87800,89100,87400,88500,1104100
02/27/2024,PNJ,89000,89900,88500,89900,1547800
02/28/2024,PNJ,90100,90800,89500,90200,952100
02/29/2024,PNJ,90600,91800,89600,90400,1235900
03/01/2024,PNJ,90400,96400,90300,95700,4273800
03/04/2024,PNJ,95700,96600,94900,95600,1302300
03/05/2024,PNJ,95900,97800,95600,96800,1857600
03/06/2024,PNJ,96800,96800,94000,95000,1585000
03/07/2024,PNJ,95300,96900,94800,96500,1917600
03/08/2024,PNJ,96900,98600,95600,96500,3265800
03/11/2024,PNJ,96800,100900,96600,99000,2936600
03/12/2024,PNJ,99500,99800,97500,99000,1340200
03/13/2024,PNJ,99000,102800,98300,101500,2395200
03/14/2024,PNJ,102000,103800,99900,100900,1635900
03/15/2024,PNJ,100100,100400,97700,99500,1635600
03/18/2024,PNJ,98500,98500,92800,97300,3241300
03/19/2024,PNJ,96100,97000,94500,96500,1913200
03/20/2024,PNJ,96000,98400,95100,98200,2095700
03/21/2024,PNJ,99200,100400,98100,98700,1591300
03/22/2024,PNJ,99000,99000,97000,98500,1654300
03/25/2024,PNJ,98300,98300,96000,96000,1405700
03/26/2024,PNJ,96200,97500,95900,97400,1273200
03/27/2024,PNJ,98000,98100,96500,97500,1406800
03/28/2024,PNJ,97600,97800,96900,97700,975300
03/29/2024,PNJ,98000,100600,98000,98900,2758800
04/01/2024,PNJ,99000,99400,97600,98900,1089500
04/02/2024,PNJ,98800,99000,97400,99000,1394400
04/03/2024,PNJ,99300,100400,97000,97000,1994000
04/04/2024,PNJ,96800,97900,96600,97500,773500
04/05/2024,PNJ,96300,97200,96300,96900,718100
04/08/2024,PNJ,97000,97200,95500,95500,792800
04/09/2024,PNJ,95500,97200,95400,97000,1077700
04/10/2024,PNJ,97600,101000,97200,100600,3227800
04/11/2024,PNJ,99900,100100,99000,100000,784900
04/12/2024,PNJ,100700,104000,100700,103100,1979200
04/15/2024,PNJ,103000,103000,96500,96500,1956100
04/16/2024,PNJ,96900,97200,92400,95900,2417700
04/17/2024,PNJ,96800,96800,92100,92500,1763000
04/19/2024,PNJ,91500,92700,89200,91500,1679900
04/22/2024,PNJ,92000,93500,91400,93400,1425200
04/23/2024,PNJ,93300,93300,90900,92500,1593500
04/24/2024,PNJ,92600,94700,91500,94300,1615500
04/25/2024,PNJ,93500,94200,93000,94200,1081700
04/26/2024,PNJ,93800,95100,92500,95000,1654400
05/02/2024,PNJ,94900,96200,94200,96100,1161100
05/03/2024,PNJ,96600,96800,95300,96500,2370400
05/06/2024,PNJ,96500,96600,95300,95900,1019300
05/07/2024,PNJ,96300,99200,95500,98000,2601600
05/08/2024,PNJ,98000,98100,96800,97600,1033800
05/09/2024,PNJ,97600,98100,96000,96500,1101600
05/10/2024,PNJ,97500,98300,96400,97500,2296200
05/13/2024,PNJ,98400,98400,96600,97200,564400
05/14/2024,PNJ,97900,97900,95500,96400,1342900
05/15/2024,PNJ,97000,97000,95900,96700,1183000
05/16/2024,PNJ,97300,97700,96700,97200,1124100
05/17/2024,PNJ,97400,99500,97000,99100,2413900
05/20/2024,PNJ,99700,99700,97400,97400,1391400
05/21/2024,PNJ,98500,100900,98000,98000,2638700
05/22/2024,PNJ,98600,98600,96500,98100,1584400
05/23/2024,PNJ,98100,98100,96100,98100,1367300
