<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
10/13/2023,VCB,86000,86600,85500,86600,663100
10/16/2023,VCB,85600,86600,85600,86100,332300
10/17/2023,VCB,86100,86500,85500,85900,363400
10/18/2023,VCB,85500,86000,85000,85900,1147400
10/19/2023,VCB,85500,86000,84100,84500,1363600
10/20/2023,VCB,83500,85300,82700,84800,938400
10/23/2023,VCB,84500,84500,82500,84500,966600
10/24/2023,VCB,84500,86500,83900,86000,994000
10/25/2023,VCB,85100,85800,84600,85800,660100
10/26/2023,VCB,85000,86000,83500,84500,1420300
10/27/2023,VCB,84600,85000,83800,85000,773400
10/30/2023,VCB,83500,86000,83500,85900,592900
10/31/2023,VCB,85900,86900,84900,86800,1345300
11/01/2023,VCB,86800,87800,86100,87800,1479100
11/02/2023,VCB,88000,89000,86600,89000,1057500
11/03/2023,VCB,89000,89400,88100,88900,1086600
11/06/2023,VCB,88900,89800,88500,89500,774800
11/07/2023,VCB,89000,89300,88300,88300,413900
11/08/2023,VCB,88000,89700,87900,89500,1270300
11/09/2023,VCB,89500,89500,87900,87900,1166800
11/10/2023,VCB,87100,87500,86000,86000,1352000
11/13/2023,VCB,86000,86100,85400,85500,937700
11/14/2023,VCB,86000,86500,85400,86000,987500
11/15/2023,VCB,86500,87700,86500,87700,4067800
11/16/2023,VCB,87000,88000,86700,88000,1284800
11/17/2023,VCB,87800,87900,85500,85600,1588000
11/20/2023,VCB,85600,87000,85000,86100,1098400
11/21/2023,VCB,86100,86700,85800,86600,1151400
11/22/2023,VCB,86300,86700,85500,86700,1012700
11/23/2023,VCB,86700,86800,85500,85500,647200
11/24/2023,VCB,85500,86000,85000,86000,734500
11/27/2023,VCB,86000,86000,85100,85800,443000
11/28/2023,VCB,85500,85900,84800,85800,779400
11/29/2023,VCB,85400,85900,85100,85100,733100
11/30/2023,VCB,85100,85400,84700,84700,927600
12/01/2023,VCB,84900,85000,84100,85000,714700
12/04/2023,VCB,85400,86200,84800,86000,888100
