<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
12/29/2023,MSN,67100,68300,67000,67000,2217700
01/02/2024,MSN,67700,69300,67300,68400,3624100
01/03/2024,MSN,68000,68900,67700,68900,1720500
01/04/2024,MSN,69000,69100,68100,68100,2526000
01/05/2024,MSN,68200,68300,66600,67900,3405400
01/08/2024,MSN,68000,68000,66600,66600,2683300
01/09/2024,MSN,66700,67400,66000,66100,2177500
01/10/2024,MSN,66200,67500,66100,66200,1883100
01/11/2024,MSN,66400,66900,66000,66100,2173000
01/12/2024,MSN,66000,66000,64800,64800,2390500
01/15/2024,MSN,65300,66100,65200,65600,1312000
01/16/2024,MSN,65600,67300,65300,67100,1938100
01/17/2024,MSN,67100,67500,66300,66300,1904200
01/18/2024,MSN,66400,67000,66400,66400,1290100
01/19/2024,MSN,66700,68400,66700,67800,3305300
01/22/2024,MSN,68500,68500,67000,67700,1775900
01/23/2024,MSN,67800,67800,66500,67500,2445600
01/24/2024,MSN,67000,67500,66200,66200,2446900
01/25/2024,MSN,66400,66800,66100,66800,1161400
01/26/2024,MSN,67000,67000,65800,65800,1936600
01/29/2024,MSN,66000,66400,65500,65600,1429100
01/30/2024,MSN,65600,66600,65600,66100,1170700
01/31/2024,MSN,66500,66600,64400,64400,2589000
02/01/2024,MSN,64400,65500,64400,65100,1692500
02/02/2024,MSN,65600,65600,65000,65400,1607400
02/05/2024,MSN,65400,65700,64700,64900,1612700
02/06/2024,MSN,65300,65300,64700,64800,1607300
02/07/2024,MSN,65000,65300,64600,64900,1352400
02/15/2024,MSN,65000,65700,64900,64900,2030300
02/16/2024,MSN,65100,66400,65100,66200,2714100
02/19/2024,MSN,66500,69400,66500,68900,7833600
02/20/2024,MSN,69700,69700,68200,68800,3375900
02/21/2024,MSN,68800,68900,67700,68000,3336800
02/22/2024,MSN,68100,69300,67800,68100,4149500
02/23/2024,MSN,68300,68900,66600,66700,4792400
02/26/2024,MSN,66700,67400,66100,66700,2921700
02/27/2024,MSN,66700,68200,66700,67600,3037600
02/28/2024,MSN,68000,68400,67700,68300,3481000
02/29/2024,MSN,69400,71500,69100,70400,8297600
03/01/2024,MSN,70400,71200,70000,70500,3757800
03/04/2024,MSN,70700,71100,69900,70800,5315800
03/05/2024,MSN,71200,75700,70900,75700,12999600
03/06/2024,MSN,76800,77800,75700,76900,6843400
03/07/2024,MSN,77000,80800,76400,80800,8721100
03/08/2024,MSN,81000,81000,78000,78500,7454600
03/11/2024,MSN,78500,81100,76600,77500,7103800
03/12/2024,MSN,77500,79400,77200,78700,5975700
03/13/2024,MSN,79000,81000,78900,80900,7035500
03/14/2024,MSN,81500,81600,78700,78900,6416700
03/15/2024,MSN,78300,79200,76800,78500,6908900
03/18/2024,MSN,77800,78900,73900,77900,7516900
03/19/2024,MSN,77900,79400,77200,77400,3129300
03/20/2024,MSN,77400,77800,76500,77300,4238700
03/21/2024,MSN,78500,78800,77600,78000,4982600
03/22/2024,MSN,79300,80900,78300,78500,6018700
03/25/2024,MSN,78000,78500,75400,75500,8724000
03/26/2024,MSN,75900,76200,74000,74000,6370600
03/27/2024,MSN,75000,76100,74100,75400,6073600
03/28/2024,MSN,76900,77700,75700,76000,6237000
03/29/2024,MSN,76500,76500,74200,74200,8324900
04/01/2024,MSN,74400,74900,72600,73400,7701100
04/02/2024,MSN,73400,75000,73300,74500,3738600
04/03/2024,MSN,74500,75400,73200,73400,4986800
04/04/2024,MSN,73100,74500,73000,73400,3739000
04/05/2024,MSN,72800,73200,71900,71900,5609400
04/08/2024,MSN,72100,72800,71700,71900,2804400
04/09/2024,MSN,72400,73500,72200,73500,4123400
04/10/2024,MSN,73500,73900,72500,72500,3030600
04/11/2024,MSN,71900,72200,71500,71800,3576900
04/12/2024,MSN,71800,72600,71700,71900,3572900
04/15/2024,MSN,71900,71900,66900,66900,10945300
04/16/2024,MSN,66900,67400,64600,66100,8049800
04/17/2024,MSN,66400,68900,65500,66800,7216500
04/19/2024,MSN,66000,67900,65900,66500,4767700
04/22/2024,MSN,67300,67500,66700,66900,2931700
04/23/2024,MSN,67700,67700,64500,64700,5047400
04/24/2024,MSN,65500,67500,65200,66900,3276700
04/25/2024,MSN,67200,68500,66200,68100,6074900
04/26/2024,MSN,67500,68300,67100,67200,3593000
05/02/2024,MSN,67800,68000,67100,68000,2279400
05/03/2024,MSN,68600,70900,68100,69800,7049300
05/06/2024,MSN,70700,71300,70100,71100,5105300
05/07/2024,MSN,71400,71500,70500,71200,3244000
05/08/2024,MSN,70900,73200,70200,72300,6123100
05/09/2024,MSN,72100,73800,70600,71400,7165500
05/10/2024,MSN,71400,71900,70600,70800,3714800
05/13/2024,MSN,70900,71700,70300,70800,2571500
05/14/2024,MSN,71000,71400,70100,70600,3692100
05/15/2024,MSN,72000,73300,71900,72200,6888800
05/16/2024,MSN,72900,73000,72000,72400,4045400
05/17/2024,MSN,72600,76000,72400,75500,12300700
05/20/2024,MSN,76500,77300,75700,76400,7869900
05/21/2024,MSN,76200,76500,74900,75800,5878600
05/22/2024,MSN,76000,76400,73800,73900,8354500
05/23/2024,MSN,73900,75800,73200,75800,6128100
