<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
11/21/2023,FPT,92000,92000,90700,91900,1460700
11/22/2023,FPT,91900,93100,91900,93000,3271700
11/23/2023,FPT,93300,93700,90800,90800,2165700
11/24/2023,FPT,90800,92000,90200,91200,2248500
11/27/2023,FPT,91400,91400,90100,90700,1659500
11/28/2023,FPT,90800,91900,89900,91100,1090700
11/29/2023,FPT,91600,92000,91100,91700,801500
11/30/2023,FPT,91400,93700,91300,91900,1982400
12/01/2023,FPT,92200,92900,91300,92400,1190800
12/04/2023,FPT,92600,94000,92600,93600,3462300
12/05/2023,FPT,93800,95800,93700,94800,3590200
12/06/2023,FPT,95000,95400,94100,95000,1220700
12/07/2023,FPT,95100,95300,92800,94300,3761200
12/08/2023,FPT,94300,95100,93500,94200,1745800
12/11/2023,FPT,95500,95700,94600,95000,1564500
12/12/2023,FPT,95400,96800,95300,96800,4084900
12/13/2023,FPT,97400,97400,95200,95200,2148100
12/14/2023,FPT,95800,96400,95200,96200,1712300
12/15/2023,FPT,96200,96300,95000,96200,1474300
12/18/2023,FPT,95900,96200,93700,94000,2266500
12/19/2023,FPT,93900,94600,93600,94600,1250400
12/20/2023,FPT,94300,95000,94100,94700,1349500
12/21/2023,FPT,94600,95100,94000,95100,1756800
12/22/2023,FPT,95000,95100,94400,94600,1275400
12/25/2023,FPT,94900,96200,94800,96000,2017000
12/26/2023,FPT,96500,98600,96400,97200,3359900
12/27/2023,FPT,97400,97800,96900,96900,1355900
12/28/2023,FPT,97000,97000,96300,96600,1196600
12/29/2023,FPT,96600,97000,96100,96100,1866600
01/02/2024,FPT,96900,96900,95700,95900,1714500
01/03/2024,FPT,95600,96500,95400,96300,1436900
01/04/2024,FPT,96300,98400,96200,97200,2973900
01/05/2024,FPT,97300,97500,96500,97400,1138600
01/08/2024,FPT,97400,98300,97100,97300,1443000
01/09/2024,FPT,97300,97300,96600,96600,1211700
01/10/2024,FPT,96700,96900,94500,94700,3302500
01/11/2024,FPT,94700,95400,94700,95000,1370900
01/12/2024,FPT,94800,95600,94100,94700,2597000
01/15/2024,FPT,95000,95900,94900,95400,1312200
01/16/2024,FPT,94700,95700,94700,95700,810000
