<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
02/26/2024,MBB,23900,24050,23650,24000,21383500
02/27/2024,MBB,24050,24450,23850,24250,22906700
02/28/2024,MBB,24350,24550,24150,24400,19275500
02/29/2024,MBB,24500,24550,23950,24150,24034500
03/01/2024,MBB,24100,24150,23800,24000,20474600
03/04/2024,MBB,24100,24450,23750,24200,31949800
03/05/2024,MBB,24200,24650,24100,24600,22768900
03/06/2024,MBB,24600,25150,24350,24600,29870100
03/07/2024,MBB,24700,24800,24350,24400,19759000
03/08/2024,MBB,24500,24500,23600,23600,49382200
03/11/2024,MBB,23550,23600,22800,22950,34911300
03/12/2024,MBB,22900,23250,22750,23100,19120400
03/13/2024,MBB,23100,23850,23100,23850,15265200
03/14/2024,MBB,23950,23950,23400,23450,18358800
03/15/2024,MBB,23450,23850,23150,23800,18886100
03/18/2024,MBB,23750,23800,22400,23200,31782600
03/19/2024,MBB,23200,23350,22950,23200,13605300
03/20/2024,MBB,23200,24400,23100,24150,39357200
03/21/2024,MBB,24300,24750,24100,24750,27089700
03/22/2024,MBB,25000,25700,24850,25050,41534600
03/25/2024,MBB,25050,25350,24600,24700,21215200
03/26/2024,MBB,24700,25250,24600,25250,15606500
03/27/2024,MBB,25250,25400,25000,25300,11404900
03/28/2024,MBB,25650,25700,25200,25500,15988900
03/29/2024,MBB,25550,25550,25150,25400,11652100
04/01/2024,MBB,25200,25250,24700,24900,19236200
04/02/2024,MBB,24600,24800,24200,24800,28974400
04/03/2024,MBB,24800,24800,24200,24200,22559800
04/04/2024,MBB,24200,24250,23800,23800,27793500
04/05/2024,MBB,23550,23750,23300,23350,25376700
04/08/2024,MBB,23400,23800,23150,23500,24714800
04/09/2024,MBB,23500,24000,23400,24000,15734800
04/10/2024,MBB,24300,24350,23800,23800,21078100
04/11/2024,MBB,23500,23850,23400,23750,9011600
04/12/2024,MBB,23850,24700,23750,24650,23911200
04/15/2024,MBB,24450,25050,23000,23400,47595100
04/16/2024,MBB,23400,23900,23050,23900,32717500
04/17/2024,MBB,24000,24050,23100,23100,23979900
04/19/2024,MBB,22600,23300,22600,22700,28182700
04/22/2024,MBB,22800,23050,22550,22600,17581500
04/23/2024,MBB,22600,22700,21750,22000,31998000
04/24/2024,MBB,22200,22650,21950,22550,18650800
04/25/2024,MBB,22600,22600,22150,22250,13003200
04/26/2024,MBB,22000,22450,22000,22250,13332200
05/02/2024,MBB,22300,22550,22200,22400,11078300
05/03/2024,MBB,22600,22800,22300,22400,11857800
05/06/2024,MBB,22550,22950,22550,22900,16199300
05/07/2024,MBB,23000,23050,22650,22750,9604700
05/08/2024,MBB,22400,22700,22300,22550,21437700
05/09/2024,MBB,22600,22800,22350,22650,15643200
05/10/2024,MBB,22750,22900,22500,22600,11418400
05/13/2024,MBB,22600,23000,22600,22650,14003500
05/14/2024,MBB,22900,23200,22700,22850,16668300
05/15/2024,MBB,22950,23050,22800,22900,15300500
05/16/2024,MBB,23150,23550,23000,23400,31430700
05/17/2024,MBB,23450,23450,23150,23250,15465900
05/20/2024,MBB,23600,23600,23400,23450,17925500
05/21/2024,MBB,23450,23600,23250,23600,16402300
05/22/2024,MBB,23600,23650,23200,23200,20042500
05/23/2024,MBB,22700,22850,22500,22800,13080600
